1	H	Hydrogen	1.00794(4)	1s1
2	He	Helium	4.002602(2)	1s2
3	Li	Lithium	6.941(2)	[He]2s1
4	Be	Beryllium	9.012182(3)	[He]2s2
5	B	Boron	10.811(7)	[He]2s22p1
6	C	Carbon	12.0107(8)	[He]2s22p2
7	N	Nitrogen	14.0067(2)	[He]2s22p3
8	O	Oxygen	15.9994(3)	[He]2s22p4
9	F	Fluorine	18.9984032(5)	[He]2s22p5
10	Ne	Neon	20.1797(6)	[He]2s22p6
11	Na	Sodium	22.98976928(2)	[Ne]3s1
12	Mg	Magnesium	24.3050(6)	[Ne]3s2
13	Al	AluminumorAluminium	26.9815386(8)	[Ne]3s23p1
14	Si	Silicon	28.0855(3)	[Ne]3s23p2
15	P	Phosphorus	30.973762(2)	[Ne]3s23p3
16	S	Sulfur	32.065(5)	[Ne]3s23p4
17	Cl	Chlorine	35.453(2)	[Ne]3s23p5
18	Ar	Argon	39.948(1)	[Ne]3s23p6
19	K	Potassium	39.0983(1)	[Ar]4s1
20	Ca	Calcium	40.078(4)	[Ar]4s2
21	Sc	Scandium	44.955912(6)	[Ar]3d14s2
22	Ti	Titanium	47.867(1)	[Ar]3d24s2
23	V	Vanadium	50.9415(1)	[Ar]3d34s2
24	Cr	Chromium	51.9961(6)	[Ar]3d54s1
25	Mn	Manganese	54.938045(5)	[Ar]3d54s2
26	Fe	Iron	55.845(2)	[Ar]3d64s2
27	Co	Cobalt	58.933195(5)	[Ar]3d74s2
28	Ni	Nickel	58.6934(4)	[Ar]3d84s2
29	Cu	Copper	63.546(3)	[Ar]3d104s1
30	Zn	Zinc	65.38(2)	[Ar]3d104s2
31	Ga	Gallium	69.723(1)	[Ar]3d104s24p1
32	Ge	Germanium	72.64(1)	[Ar]3d104s24p2
33	As	Arsenic	74.92160(2)	[Ar]3d104s24p3
34	Se	Selenium	78.96(3)	[Ar]3d104s24p4
35	Br	Bromine	79.904(1)	[Ar]3d104s24p5
36	Kr	Krypton	83.798(2)	[Ar]3d104s24p6
37	Rb	Rubidium	85.4678(3)	[Kr]5s1
38	Sr	Strontium	87.62(1)	[Kr]5s2
39	Y	Yttrium	88.90585(2)	[Kr]4d15s2
40	Zr	Zirconium	91.224(2)	[Kr]4d25s2
41	Nb	Niobium	92.90638(2)	[Kr]4d45s1
42	Mo	Molybdenum	95.96(2)	[Kr]4d55s1
43	Tc	Technetium	[98]	[Kr]4d55s2
